TISSUE,frequency
ensiled tissue,1
conjunctiva,1
subepithelial infiltrates,1
pulmonary capillary,1
bloodâspinal cord barrier,1
spinal neurons,1
BSCB,1
alveolar parenchyma,1
SPC,1
vaginal epithelial,1
three-layer circular,1
Airborne Microorganisms,1
TMJ structures,1
cantilevers,1
endodermal,1
centrilobular alveolar spaces,1
bronchiolar walls,2
endophyte,2
fluids,1
tissue edema,2
Liver Viruses,1
Intestine Tissues Turkey coronavirus,1
intestine tissues,2
avascular bone,1
solid capsid shell,1
nerve fibers,3
thoraxwand Aet,1
extravascular bone marrow lipid,1
extra-solar,2
Solid organ,1
small seeds,1
micropropagation,1
FFPE tissues,6
spongy,1
airspace,1
stromal tissue,1
enamel,1
maternal-fetal barrier,4
neonatal tissues,2
postcapillary venules,1
CNS lymphatics,1
leptomeningeal infiltrates,1
somatic fetal,1
Lamina cribrosa,1
seed âKim,1
TSM,1
trophic networks,1
ear buds,1
nano-antimicrobial,1
Cardiac,2
parenchymal ECM,1
one-mode networks with,1
multi-mode networks,1
membranous bronchioles,1
glandular trichomes,1
Cymbidium,3
structures like nanofibers,1
occipito-atlantoaxial,1
solid organ transplant recipients,1
endocardium,2
gut-associated lymphoid tissues,3
nasal mucous membrane,1
Arch Otolaryngol Head Neck Surg 128(5):583â5,1
pleural,5
subpleural area,6
interlobular septal thickening,3
crypt,1
ethmoid turbinates,1
anteromedial,1
mesoaccumbens nerve,1
visceral lymph nodes,1
paracortical,1
parathyroid tissue,1
sclera,1
biliary epithelial hyperplasia,1
lamina propria lymphocytes,1
endocrine organs,2
paraffin-embedded tissue sections,1
archival intestinal material,1
archival tissue,1
inner cytoplasmic leaflet,1
striated muscle,3
cardiac myocyte,1
isolated tissues,1
lymphoreticular tissues,1
hemolymphatic tissues,1
Lipid Nanoparticles,1
pulmonary tissue extracts,2
scrotal epidermis,1
epididymal adipose connective tissue,1
alveolar exudates,1
bronchiolar epithelium,4
fat milk replacer,4
alveolar architecture,1
endometrial,1
smooth muscle fibers,1
post-mortem tissues,1
organ tissue samples,1
trabecular architecture,1
normal pituitary tissue,1
nasal mucus secretions,1
trasplante,1
jejunum tissue,1
carcass,1
Longissimus thoracis muscle,1
focal lung,1
peri-tumour tissue,1
bronchial-like tissues,1
corneal epithelial,1
corneal graft,1
facettes,1
germinal epithelium,1
small intestinal epithelial crypts,1
Placental Extract,1
placental extract,1
lacunae,1
epicardial,1
synovial fluid,2
osteoblastic bone,1
tear,3
conjunctival secretions,2
e1-e2,1
interstitium,1
bronchoscope-guided tracheal,1
bronchoscope-guided endotracheal,1
placental tissue,2
Liver tissue,2
egg yolk immunoglobulins Emery Daryll A,1
âtissue-specific,1
elsevier,6
carcass condemnations,1
ozone-induced epithelial,1
skeletal muscle myotube,1
placental syncytiotrophoblast,1
syncytiotrophoblast,1
sensory nerves,2
mucosa-associated lymphoid tissue,3
pollen,2
Leaf,2
intestinal brush border,1
LCM,1
nonlymphoid organs,2
neural structures,1
gas-exchanging surface,1
Macular edema,1
bloodâretinal barrier,1
macular edema,1
neural sites,1
ocular surface squamous carcinoma,1
Extracellular,1
Cord Blood,1
tissue donors,1
mucosal airway epithelial cell,1
Eustachian Tube Mucosal Immunology,1
tapetum,1
cone,1
orbital walls,1
frontal bone,2
invade tissues,1
bodily tissues,2
torus,1
Pulp,1
mucosa-associated lymphoid tissues,1
valve,1
capsular,3
tissue polysialic,1
yolky oocyte,1
nanotube walls,1
cancerous tissue,1
Allograft Tissue,1
Allograft tissues,1
osteochondral allografts,1
allograft tissue,2
peridontal tissues,2
gingival tissues,1
microcantilever structures,1
micro-organisms,1
exudations,1
wasabi,2
Small Intestines,1
scaffold-free,1
Alveolar Epithelium,1
cardiovascular grafts,1
tissue allografts,2
EOs,1
subepithelial tissue,1
formalinfixed placental tissues,1
Lymphoid architecture,1
thick-,1
mucosal viruses,1
esophageal-tracheal twin-lumen airway,1
endotracheal tube cuff,5
endotracheal tube cuffs,5
Kidney Pancreas,1
Mucosal epithelial,1
nervous tissues,2
tarsal joints,2
lung tissue sections,1
bronchiolar epithelial,1
cardiac blood,1
network structures,2
extracellular,1
GEA,3
smooth bromegrass pastures,2
esencial,2
Contact lens,1
nanofibers,1
edge,1
pleura,1
Cardiac Electrophysiology,1
Bronchoalveolar Lavage Specimen,1
CF centres,1
non-myelinated fibers,1
body fat,1
Right ventricular aneurysm,1
seed material,1
nose mucous membranes,1
cardiac CT,1
aortic valve,2
pre-iridal fibrovascular membranes,1
Pulmonary Tissue Leakiness,1
articular,3
ear oedemas,1
CBE,2
Disease network,1
CF viral,1
Lipid Molecules,1
intravascular endothelium,1
Keystone virus,1
small intestinal epithelium cells,1
alveolar interstitium,1
esophagus epithelium,1
conjunctival sac 2019ânCoV,1
conjunctival sac,1
nasal tissue A,1
testicular tissues,1
skeletal muscular,1
epicardial adipose tissue,1
conjunctival swab samples,2
cervix tissues,1
bronchoalveolar lavage fluids derived,1
Kidney tissues,2
tubulointerstitium,1
sub-territories,1
nasopharyngeal swab nucleic acid,1
subsegmental bronchial branches SUMMARYThe SARS-CoV-2,1
subsegmental bronchial branches,1
subsegmental bronchial branches ACE2,1
inner components,1
Small Airway Epithelia,1
tissue organs,1
Pulmonary infiltrates,2
Leguminosae,1
olfactory epithelial,1
HE structures,1
Covid-19 exponential growths,1
LNs,2
chemosensory tissue,1
gallbladder epithelium,1
testicular biopsy specimen,1
laryngeal tube,2
Cardiac Murmur,1
interventricular septum,1
cardiac vascular network,1
macrophage-fibroblast-cardiomyocyte network,1
Inter-lobular septal,1
juxta-lesional pulmonary vessels,1
heart tissues,2
RV,1
e-probes,1
Placental Tissues ABSTRACTZika virus,1
PPMs,2
extraembryonic endoderm,1
oral-,1
biofilms,1
tumor ECM,1
mucosal-associated tissues,1
airway eosinophils,2
post-cuprizone,1
breast milk samples,1
torpedo-shaped,1
COVID-19-epidemic,1
alveolar septum,2
pulmonary interstitial fibrosiswere,1
scp,1
embryonic dorsal root ganglion,1
demyelinated tissue,1
cranial,1
lymphoid organ chemokine,1
smooth membranes,1
small tubular elements,1
gastric epithelium,1
ocular surface epithelium,1
tubular network,2
tubular lipoprotein,1
CRC tissue,1
mammalian eye,2
cervical tissue,1
airbronchogram,1
nonneoplastic lung tissues,1
embryonic tissue,2
NPC tissues,1
embryonic egg,1
egg yolk antibody,1
brain tissue specimens,1
lymphatic endothelium,1
CF titers,1
short-circuited jejunal epithelium,1
intestinal villi,7
crypts,1
isolated jejunal villus enterocytes,2
crypt epithelium,5
intestinal brush border membranes,2
columnar absorptive epithelium,1
blunt villus apices,1
bronchovascular infiltrates,3
olfactory,1
CNS neurons,1
periarticular bone,1
subchondral bone marrow,1
haemato-lymphoid organs,1
tracheal cartilage,1
glutaraldehyde-treated sheep erythrocytes,1
inner capsid protein,1
inner kinetochore,1
formalin-fixed intestinal tissues,1
intestinal tissue samples,1
cage wall,1
salivary duct epithelium,1
maxillary aspirates,1
TFCs,4
lymphoid infiltrates,1
inner capsid layer,2
Mucosal Dimensions,1
PDAC tissues,2
peribronchial lymphoid cuffing,1
small smooth vesicles,1
alveolar lavage fluid,2
breast muscle,1
CNS intercellular,1
hepatic microvascular system,1
esophageal muscle,1
thoracic fluids,1
colonic epithelium,1
lamina propriae,1
marginal zone,6
hematopoietic tissue,1
ocular exudates,1
CNS Pathology,1
cord sera,5
cord serum,1
skeletons,1
ileal lamina propria) mononuclear cells,1
small intestinal villous,1
villous epithelial,1
myofascial,1
bronchial tissues,1
lamellae,1
sheaths,1
lungsasal turbinates,1
paraffin-embedded tissues,11
adult cows,1
Adipose,1
necrotic foci,2
endothelia,2
enterocyte brush,1
palisade,1
tissue filtrates,1
Inner structures,1
inner structures,1
inner membranous bag,1
inner bag,1
smooth intracellular membranes,1
bronchoalveolar lavage fluid (,1
fibrinocellular exudate,1
pannus,1
ear pinnae,1
adnexal skin structures,1
formalin-fixed intestinal specimens,1
subepithelial capillaries,1
mediator-sensitive postcapillary venules,1
corium,1
cryptal enterocytes,1
normal egg yolk,1
brown fat,1
lesional tissues,1
formalin-fixed intestines,1
CRC tissues,1
Rat,1
normal jejunal myoelectrical,1
aboral,1
tracheal tissue specimens,1
histocytic infiltrates,1
necrotic abomasal mucosa,1
Thymic epithelial,1
thymic epithelial,3
thymic epithelium,2
nasal mucosal surface,1
cryosections,1
near-baseline,1
interalveolar septa,1
columnar enterocytes,1
nodular lymphoid hyperplasia,1
cell epithelium,1
domes,1
Airway Epithelia,1
formalin-fixed ear,2
splenic tissues,1
adult microglia,2
parakeratinized epithelium,1
BN CNS,1
vacuolar wall,1
absorbtive intestinal epithelial cells,1
smooth-walled,1
hypertrophic crypts,1
spleen tissue specimens,2
periadventitial fat,3
adventitia,4
tissue transplants,1
tumor nodules,1
keratin-filled,1
subepithelial microvessels,1
airway subepithelial,1
tracheal lavage specimens,1
necrotic liver foci,1
shadows infiltrating,1
Circular externa,2
conjunctival sac swab,1
conjunctival sac swabs,2
NON-NCOVID-19,6
conjunctival epithelium,2
corneal endothelium,1
subjacent connective tissue,1
network architecture,2
adn anti-bacterial,1
pulmonary interstitium,2
area network,1
echelon,2
extra-pulmonary sites,1
vascular plasma,1
pleural tissue,1
renal tubular epithelium,1
mononuclear infiltrates,1
nerve terminal,1
tracheal cilia,2
host detrusor smooth muscle,1
BAMG,1
enteric tract cells,1
intercaruncular endometrial tissues,1
CNS,1
Tissue sections,2
A/Guangdong/1/2013 virus,1
large intestinal tissues,1
spinous,2
ninth thoracic vertebrae,1
T8 dorsal spinous,1
cardiac signal,1
fiducial,1
tracheal tissue,1
multiform ventricular,1
lymphoplasmocytic infiltrates,1
powder,2
placenta tissue,1
plastic-embedded material,1
intestinal tissue sections,1
nasopharyngeal samples,1
calibers,1
ocular mucosae,1
hopfield-like network,1
lung cells/tissues,1
colonic surface epithelium,1
tracheal mites,1
subcortical serotoninergic neurons,1
serotoninergic neurons,2
COVID-19 virus,1
sub-pleural,1
sinonasal mucosal tissue,1
popliteal lymph node,2
nerves,1
alveolar airspaces,1
egg yolk immunoglobulins,1
weighed tissues,1
duodenal tissues,1
epithelial secretory gland,1
small intestinal lamina propria,1
mesenteric lymph node leukocytes,1
cephalothorax tissue,1
lymphoid tissue microarchitecture,1
FIP tissues,1
Renal tissues,1
embryonic chorioallantoic membrane,1
extravascular marrow fat cell,1
fat necroses,1
glossy,1
nasal lavage fluids,1
digestive biopsy specimens,1
ER-bleb-like structures,1
periodontium,1
Peyer,1
para-carcinoma normal tissues,1
neural elements,1
capillary membranes,2
normal-appearing liver,1
Rheum emodi wall,1
Rheum,1
tonsillar crypts,1
Broncho alveolar lung lavage,1
BAL fluids,6
myelinated,1
sensory nerves innervating,1
somatosensory nerves innervating,1
CF pulmonary,1
mantle zones,2
periarteriolar lymphoid sheath,1
intestinal enterocyte,1
modular network layer,1
piglet ileum,1
Contact networks,2
glomerular capillary basement membranes,1
electron-dense,1
non-IPF interstitial lung,1
lung tissue consolidations,1
fetal immune,1
glomerular tufts,1
Cervical lymphoid tissue,1
broncho alveolar,1
vascular coat,1
blood-retinal barrier,1
fish tissue,2
visceral organs,1
Epithelial Barrier,1
inner canthus,4
unfixed tissues,1
conjunctival swab specimens,1
droplet secretions,1
focal node,1
circumferential,1
eosinophilic inflammatory infiltrate,1
germ tubes,1
multi-layer networks,1
cartilage/bone,1
ear swabs,3
lymphoreticular organs,1
droplet fallout,1
connective tissue like skin,1
Skin layer,1
capillary pores,1
experimentally-lesioned tissue,1
astrocytic glia limitans,1
lung tissue homogenates,1
large intestinal villous,2
BC matrix,1
endotracheal tubes,1
variola-specific,1
pectoral muscle samples,1
birdsâ tissues,1
Broncho alveolar lavage,1
extra-,1
ear drum IRT,1
mucoid,1
Tertiary lymphoid organs,1
ADMs,1
large intestinal epithelial cells,1
fat body,1
Soft Tissue Allografts Allografts,1
BarabÃ¡siâAlbert networks,1
short-circuited ileal epithelium,1
IEL compartment,1
embryonating eggs,1
Alveolar Capillary Dysplasia,1
Pulmonary Veins Who,1
alveolar capillary dysplasia,1
pulmonary veins,1
jejunal tissues,2
pollen tubes,1
pollen tube,1
microfiber-based,1
floret tissue,1
4-layer nanofiber,1
tissue ZIKV,1
internodal explants,1
aux1,2
87 tissue samples,1
single-layer network,1
alveolar sacs,1
cavitary infiltrates,1
iris epithelium,1
inner retina,1
dermal infiltrates,1
inflammatory infiltrates,1
ventricular ependyma,1
FOB-guided nasal tracheal,1
lamina propria PCV2-specific,1
RV species,1
intestine epithelium,1
Lung parenchymal,1
mediastinal tissue,1
ciliated epithelial,1
skeletal tissues,1
cage-like structures,1
LBM network maps,1
Hyacinth bulbs,1
Preparations,1
extruded,1
lymphocytic perivascular cuffs,1
parenchymatous organs,1
thoracostomy tube,1
brochoalveolar lavage fluid,1
bronchial smooth muscle spasm,1
necrotic crypts,1
inner dynein arm,2
CNS infiltrates,2
portal,1
placental tissue samples,1
adventitia tunica,1
biPSCs,1
capillary valves,2
CNS Viruses,1
Wheat streak mosaic virus,1
plant tissues,1
blood-tissue barrier,1
posterior lung,1
oedema area,1
vascular tunic,2
TCoV. Intestinal tissues,1
lymphnode tissue,1
Auerbach,1
solar ganglia,1
ear canals,1
Brain microvessels,1
pillar,3
Nasal tissue,1
scaled-DFT,1
lamina proprial compartments,1
velvetbean caterpillar,1
non-immunological tissues,1
gut epithelial mucosal surface,1
ganglion,1
trigeminal nerve endings,1
mucosal linings,1
villous epithelia,1
visceral,2
single-pass intestinal,1
pleomorphic viruses,1
plasmacytic,1
tracheal caseous exudate,1
high-density infiltrates,1
macrophage-rich tissues,1
tonsillar tissue,1
retina tissue,1
breast tissue,1
breast adenocarcinoma tissue,1
normal intestinal epithelial cells,1
bronchial walls,1
parenchymal lung tissue,1
skeletal muscle fiber,1
fibrocellular intra-alveolar,1
glomerula,1
CNS barrier,1
bronchiolar smooth muscle cells,1
perivascular lymphoplasmocytic infiltrates,1
bronchus-associated,1
egg yolk powder,2
mesenteric fat tissue,1
normal central nervous tissue,1
Î¶-potential,1
head-associated lymphoid tissues,2
Axillary,1
subjectsâ eye,1
hepatic infiltrates,1
esophageal tube,1
skeletal muscle EcSOD,1
Post-mortem tissue,1
bronchial epithelial,2
granular amphophilic cytoplasm,1
auricular swabs,1
parenchymal interstitial lesions,1
bronchial alveolar lavage,1
petal,2
pistil,1
ovary tissues,2
F. G. J.,1
lymphatic tissues,1
tubular epithelium,1
midline,1
tubular epithelia,1
lamina propria fragment cultures,1
NP nanoparticles,2
CF respiratory specimens,1
CF gastrointestinal tract,1
embryonic chorio-allantoic membrane,1
Mucosal epithelia,1
mucosaassociated lymphoid tissues,1
avascular fibrotic villi,1
episodes/year,2
presiÃ³n arterial,1
barrier structures,2
peripheral tissue,1
mammalian CNS,1
neural retina,1
retinal (Muller)-RPE cell cultures,1
bronchiolar-associated lymphoid tissue,1
nasal/oropharyngeal swabs,1
FFPE tissue,2
tentacular,1
sensory peripheral nerves,1
Ocular fluids,1
olfactory structures,1
encephalic trunk,1
adenotonsillar tissues,1
lymphoepithelial tissues,1
glomerular mesangium,1
inner zone,1
Tibialis anterior muscles,1
contractile,1
lung tissue extract,1
serum/lung tissue,2
MLN tissues,1
dromedary tissues,1
fibrous tissue,1
ventricular septum,1
Cu-doped TiO2/PU,1
cellular electrolyte,1
extrahepatic tissues,1
frontal area,1
layer chickens,1
inner capsid,1
capillary engorgement,1
fibrinoid material,1
eye mucous membranes,1
ectoderm,1
Lung Tissues,1
Leaf extracts,1
seed viruses,1
endotracheal tube aspirates,1
perihilar infiltrates,1
crypt epithelia,1
septal,1
ventricular,1
tissular,1
extraneural tissue,1
lymphohaematopoietic tissues,1
cerebellar sites,1
embryonic sac,1
CF pulmonary exacerbations,1
blod,1
ear fluids,1
feeder,1
tracheal tissue extracts,1
smooth muscle contraction,1
Formalin-Fixed Hearts,1
edible brown algae Ecklonia cava Phlorotannins,1
Breast milk,1
CF care,1
CF Centres,1
marginal zone B cells,1
normal red,1
neuro-immune network,1
Centers Network,1
quail tissues,1
CBNPs,1
entryâ,1
epithelial erosions,1
superficial lymphoid tissue,1
lung tissue slices,1
airway mucosal epithelium,1
Hypoxia-like tissue,1
FFPE samples,1
alveolar lining pneumocytes,1
focal skeletal muscle,1
pleural mesothelia,1
turbinate mucosal tissues,1
turbinate mucosae,1
Cardiac Death,1
placental syncytiotrophoblast layer,1
Kidney Grafts,1
nerve endings,1
pial surface,1
non-regenerating neural tissue,1
tube RTâPCR,1
mucociliary epithelium,1
ciliated cell-types,1
solid lipid microparticles,1
tissue biopsies,1
articular joint,1
smooth tubular transitional membranes,1
smooth tubular elements,1
terminal tissues,1
Molar,1
quadriceps muscle,1
endocrine pancreas,1
central tissues,1
peripheral tissues,1
KirkwoodâBuff,1
oral tissues,1
fish tissues,1
gill tissue,1
inner bark extract,1
ileum lamina propria,1
VAT,3
network tree,1
cerebellar tissue,1
adipose tissue mesenchymal stem cell,1
cardiac tissue specimens,1
enteritidis,1
mouth/nose,1
Lung tissue samples,1
lungs tissue,1
IMC,1
mint,1
outermost layer,1
brown-egg layers,1
tissue homogenate,2
pectoralis muscle,1
green tea polyphenol epigallocatechin gallate,1
placenta,1
A+V+ piglets,4
granular plasma,1
brown,1
extravascular lipid,1
villous height/crypt,1
Transplantable Tissue,1
allograft tissue transplants,1
allograft tissues,1
Avascular,1
trabeculae,1
carcass fat,1
fin buds,1
thymus grafts,1
Broncho Alveolar Lavage,1
CC tubes,1
fat] milk replacer,1
perivascular inflammatory infiltrates,1
prolapsed tissues,1
inner parts,1
follicular epithelium,1
Follicular architecture,1
parafollicular,1
airway lining fluid during,1
gut tissues,1
OE,1
vascular walls,1
muscular layer,1
cardiac muscles,1
Tracheobronchial Epithelium,1
mammary tissues,1
droplet particles,1
surrounding tissues,1
capillary tube,2
Microparticles,1
barrier species,1
enteric tissues,1
