ORGANISM,frequency
virus-like particle vaccines,4
avian Gammacoronavirus infectious bronchitis virus,3
TOCs,7
dromedary camel sera,1
SIV Interferon-induced transmembrane,1
human IFITM,2
nonhuman primate IFITM,2
primate lentiviruses,11
SIV strains,1
primate IFITM3,1
nohuman primate cells,1
Zika Virus,59
Ebola Virus Receptor NPC1,1
Reptiles Filoviruses,1
VH-2 cells,1
EBOV receptor Niemann-Pick C1,1
Bull Calves,1
bovine plasma IV,1
canine respiratory viruses,3
canine herpes virus,1
canine influenzavirus,1
Holstein cattle,5
cows,11
Horses â,1
equine microbiota,1
Mentha,1
piperita L.,1
Salvia officinalis L.,1
Thymus vulgaris L.,1
Althea officinalis L.,1
Origanum vulgare L.,1
HCoV NL63,2
HCoV HKU1,1
Equine rhinitis B viruses,1
horse fecal,1
equine rhinitis B virus,1
ERBV,7
ERBV2,3
ERBV1,2
ERBV2) ERBVs,1
KSA (113 articles,1
virus-specific nucleotide,1
Zika Virus Patients,1
Ebola Virus Disease Outbreak,1
Human Embryonic Stem Cells,1
Human Amniotic Fluid Cells,1
mouse embryonic fibroblast feederlayers,1
human amniotic fluid cells,1
human foreskin fibroblast feeders,1
nonhuman N-glycolylneuraminic acid,1
C-B12,1
influenza virus A/Turkey/England/647/77,1
gastro-intestinal-pulmonary tract,1
Duck gut,1
1:5,1
Rhesus Macaques Innate immune responses,1
Chinese macaques,2
pig serum,4
pig samples,3
pig serum samples,1
PEDV antibody,1
PEDV serum IgG,2
PEDV oral fluid IgA,1
BCoV antibodies,2
BCoV RNA 21,1
SD rats,3
Zika Virus Disease Outbreak,1
panda,5
Asia-1,8
rhinovirus species,6
Human Embryoid Body-Derived Neural Precursor Cell,1
human NPCs,1
PRRSV strain JXwn06,3
PRRSV-infected MARC-145 cells,6
Vesicular Stomatitis Virus (VSV),1
replication-defective,12
pdm/09,1
Human Epidermal Growth Factor (,1
human EGF,4
soybean seeds,3
soybean seed,2
dog circovirus,1
Sprague Dawley (SD) rats,1
Adenovirus 2,1
Parainfluenza Molecular,1
Canine adenovirus 2,1
adenovirus 2,4
parainfluenza vaccine,1
Feline Blood,1
feline blood donors,1
porcine intestinal epithelium,5
Toona sinensis Roem Toona sinensis Roem,1
T. sinensis leaves,2
T. sinensis leaf,1
Rag1,1
-/-,3
SIFT,1
Rift,9
human monocytic,2
human myeloid cells,1
Foot-and-mouth disease virus non-structural proteins,1
FMDV NSPs,1
Porcine Coronavirus,2
Swine Feces,1
Swine Feed,1
swine feed,6
Molossidae,3
Phyllostomidae bats,1
DBA/1J Mice,1
DBA/1J mice,2
mouse pulmonary stem/progenitor cells,2
SFNV,2
SFSV,8
Toscana virus,1
TOSV,1
HRTV,5
Viral protein U,1
Human Parainfluenza Viruses,2
PIVs 1â3,2
PIV3 (88 and,1
PIV3 (100 per,1
PIV3 (3.4,1
PIV1 (,2
PIV2 (,1
Mice Small glutamine-rich,1
TCID(50)/ml,1
suids,3
Suid Herpesvirus 1,3
SHV1,1
boars,20
Virus Infectious,1
dual-epitope,1
mouse skin excisional wound,1
miR-122,4
human IFIT,1
human IFIT5,1
Pigs â A,1
Enterotoxigenic E. coli,1
lineage 1a,2
WNVs,1
WNV E,1
dromedary WNV,1
Babesia spp,7
Avian influenza viruses A(H5N1,1
H5N1 from 1997-,1
lethal WNV,3
enterovirus ROs,6
Spinal Cord,10
human HPS,2
coronavirus (FRCoV,1
coronavirus (FRCoV) Yamaguchi-1,1
FRCoV,3
a.a,4
NP/OP samples,1
Virus Architecture Foamy viruses,1
Spumavirus,1
Env leader peptide gp18(LP,1
Env glycoproteins,3
Env gp48(TM)- gp80(SU,1
PFV,1
bat-,1
fruit,2
E. coli strains,3
US FDA,6
MERS-CoV culture isolates,1
Marburg Virus Nucleoproteins,1
EBOV NP,4
MARV NP,1
Gancao,1
Viruses 6(3,4
parainfluenza viruses types 1â4,1
Viruses DOI,3
ENT/HRV,2
ASP-based,1
nematode Ostertagia ostertagi,1
pASP,1
avian influenza viruses isolated from wild,2
Viruses 7(4,5
H7N2,3
CIV) H3N2,1
CIV H3N2,3
avian influenza antibodies,1
influenza H5 hemagglutinin (,1
Pseudotype,2
horse erythrocyte HI,1
H3N2 influenza strains,1
Avian influenza A viruses,1
swine influenza viruses isolated from pigs,1
swine H1,2
human H3,1
swine tracheal organ culture,3
pig tracheas,1
coâordinated ciliary,1
pig trachea,1
Viruses 5(2,1
Viruses 5(5,1
Feline kidney F81 cells,1
MERS-CoV-specific convalescent plasma,1
Children 6â59,1
children 24â59,1
children 6â23,2
chicken at 6,1
A/Aichi/2/68 H3N2,1
A/Mute Swan/Rostock/R901/2006 H7N1,1
DIII,13
ANDV DIII,1
ANDV glycoprotein-mediated,1
ANDV cell,1
East Respiratory Syndrome-Corona Virus,2
caregivers,2
A. MERS-CoV isolates,1
S. aureus CAP,1
sore throat (,1
hAdV,4
rhinovirus/enterovirus (RV/EV,2
countries Guinea,1
"Guinea, 1.26",1
parechovirus 9,1
RTI,10
avian H5N1,5
donations,8
Filoviridae species,1
Zaire species,2
E. coli K12,2
Shiga toxin loci,1
H10N7) Virus,1
H10N7 (Seal/H10N7,1
human tyrosine kinases,1
virotherapy,8
Syncytial Virus Respiratory syncytial virus,2
RSV F immunogens,4
RSV F DS-Cav1,2
EpichloÃ«,3
E. festucae,2
antigen-specific IgGs,1
Ebola virus-specific,1
human leukocyte antigen class II,2
Human Rhinovirus B,1
HRV C genome,1
Ag-specific germinal center (GC) B cell,1
Ag-specific follicular Th cell,1
replication-deficient adenoviruses,3
Replication-Competent Influenza A Viruses,1
mosquitos,2
UUKV,3
phlebovirus Gn,1
Chicken Trachea,1
chicken upper respiratory tract,1
chicken macrophages,10
Human Gastrointestinal Tract CF,1
human gastrointestinal tract,6
porcine rotavirus group C,1
Rota C,1
Rota C (,1
ORF3,3
PEDV S-INDEL,6
Chinese non S-INDEL,1
SS2 epitope,2
pAPN receptor-binding region,1
PEDV non S-INDEL,1
Mycoplasma haemofelis Mycoplasma haemofelis,1
Mhf,3
Hantaan Virus Cytotoxic T-Cell,1
human leukocyte antigen (HLA)-A*02,1
HTNV epitope-specific CD8(+) T-cell,1
HTNV-NP FA9,1
coleoid,1
Zika virus (ZIKV)âmicrocephaly etiomechanistic,1
Nicotiana tabacum chloroplast,1
C. Transporterârelated,1
Corsica,1
Ebola virus in 3,1
MERS-CoV VaccineâReport,1
Chinese pig MRV3,1
AHSV,7
equids,10
AHSV serotype 1,1
replication-incompetent AHSV,1
midges,9
replication-deficient viruses,1
HA-specific T cells,1
Sophora Flavescens,1
Sophora flavescens,2
ASF samples,1
âwhite chicksâ,1
chicken astrovirus,7
AdV-7,1
Sendai virus intra-host,1
NORS,3
convalescent plasma donors,1
porcine FcRn,1
bacillus Calmette GuÃ©rin,1
Dengue Virus RNA,1
Canine Immunological,1
human visceral,1
Lutzomyia longipalpis salivary gland,1
chagasi,11
Murine norovirus-1,1
MNV-1,24
viral-like particle,1
EBOV Mayinga,1
EBOV Makona,5
293T/17,1
Horses,11
Productive Viral,1
human peripheral blood mononuclear cells Monocyte chemoattractant protein-1 (MCP-1/CCL2)-mediated,1
Swab samples,1
PEDV JS-2013,1
PEDV infected,2
Moonshot ScienceâRisks,1
SGIV,36
Singapore grouper iridovirus,6
medaka haploid embryonic stem,1
human brain-derived cell culture,1
human brain-derived cell lines,1
Parainfluenza 2,1
Human Astrocytes,1
human fetal astrocytes,1
virus-specific memory,3
HIV-1 Virions,2
RV144,4
Env IgA,3
Env IgG3,1
Env IgG1,1
palmar-plantar,1
human neuroblastoma cells N-myc,1
ciguatera patients,2
trans-frame,4
Drosophila melanogaster Wild,1
FHV-1 isolates,3
vaccine isolates,1
MERS portal,2
Hepatitis E Virus Hepatitis E virus,2
cross-species HEV,1
human pathogensâinfluenza,1
rodent network,1
barley (Hordeum vulgare,1
MERS-CoV nonstructural protein 13,1
CoV nsp13,2
C57BL/6 miR-155(+/+,1
miR-155(â/â,3
virus-specific CD4(+) T cells,3
businessman,1
influenza A specimens,1
human donor organs,1
Flavivirus,10
Muslims,7
Aedes vector,1
SJL Mice TheilerÂ´s murine encephalomyelitis virus,1
SJL mice,31
Mumps Virus,1
murine coronavirus S trimer,1
"paramyxovirus F proteins(2,3",1
human coronavirus S domains,1
PIV-4,5
parechovirus (1.3%,1
types/subtypes,2
Vaccine-Derived Newcastle Disease Viruses,1
vaccine-derived Newcastle disease viruses,2
vaccine-derived viruses,2
Hitchner B1,1
Influenza B virus non-structural protein 1,1
human ISG15,7
H5N1 than,1
A/Puerto Rico/8/1934(H1N1,1
H5N1 NS1,2
retroviridae,2
RSV F DNA,3
UV-inactivated RSV,1
Peck,1
FMDV A vaccine,1
FMDV A(24,1
non-carrier,3
arthropod-borne infectious diseases than,1
feline vector-borne,1
canine breed,1
feline microbial populations,1
choline-treated calves,2
Virus quasispecies,1
coronavirus JHM strain,1
mouse hepatitis virus (JHMV)-induced,1
DEREG mice,1
bacillus Calmette-Guerin,2
M41 IBV strains,2
CTL immune,2
Human Metapneumoviruses,2
Rattus norvegicus (,2
rat faecal matter (n=29),1
Theiler's encephalomyelitis virus,1
HIV-1-encoded envelope,1
Carnivores,3
hyena (Crocuta crocuta,2
bat-eared fox,3
Otocyon megalotis,1
silver-backed jackals,1
Canis aureus,1
C. mesomelas,1
human caliciviruses,8
Human caliciviruses,1
genogroup GI,1
HuCV,4
NoV genogroup GII,1
NoV GII,3
NoV GI,2
GII.3,1
GII.17,1
CPV-2c isolates,2
reassortant bat rotaviruses,1
RVAs,11
VP4 segments,2
PyV,7
PyV-induced human,1
JEV nonstructural protein 2A,1
HIV gp41,6
dengue-confirmed,1
bovine sera,11
tick-mammal,1
bovine serum samples,3
human DDX,1
children patients,5
Rousettus bat coronavirus GCCDC1,1
Ro-BatCoV GCCDC1,4
Rousettus leschenaulti bats,1
bat coronavirus HKU9,4
Ancylostoma ceylanicum intestinal,1
Ancylostoma ceylanicum,1
A. ceylanicum APR-1,1
A. ceylanicum,1
Cytomegalovirus Promoter-Driven,1
MR766,6
MR766 ZIKV genome,1
MR766 virus,1
ZIKV isolates,2
DENV hosts,1
human cells ERI3,1
URO-MCP-1 mice,1
mosquito-borne virus,11
alphaviruses,14
Acacia catechu,2
sinica stapf,1
pomegranate extract,1
Azadirachta indica,1
Human IFIT1,1
paramyxoviridae,3
MuV,18
rubulaviruses,3
MERS coronavirus from 6,1
Mouse Strains A central,1
EBOV lineage,1
Convalescent Serum,1
Virus Makona,1
heterologous Sudan ebolavirus,1
SEBOV,5
SEBOV convalescent sera,1
SEBOV sera,1
herd A,3
herd B,3
multocida,21
herd C,1
mosquito-borne flavivirus JE virus,1
CCR5-deficient (Ccr5(â/â),1
Canine parainfluenza virus,1
Canid herpesvirus 1,2
Canine adenovirus type 2,2
CAdV-2,8
CDV nucleoprotein,1
CAdV-2 E3,1
CaHV-1 glycoprotein B,1
Tregs PTEN,1
Coxsackie virus,4
Coxsackie virus B3 3C,1
SD],11
Zika virus (ZIKV)-affected,1
Virus NSs,1
livestocks,1
RVFV MP-12 strain-derived mutant viruses,1
RVFV MP-12-NSs mutant viruses,1
Saccharomyces yeast species,2
Saccharomyces yeast,2
yeast species,3
L-A-like virus,2
S. kudriavzevii,2
Saccharomyces yeasts,2
porcine enteropathogenic coronavirus,5
Syncytial Virus Prophylaxis,1
HCM patients,1
S. mitis,1
mycoplasma,16
orthomyxovirus influenza A,1
influenza A/Puerto Rico/8/34(H1N1,1
pathogen-specific IgG.,1
orthomyxovirus influenza A.,1
post-blood,2
feline morbillivirus,5
Feline morbillivirus,6
feline renal,2
farrow-to-finish herds,3
Feline tumor necrosis factor (fTNF)-alpha,1
mouse anti-fTNF-alpha monoclonal antibody,1
mouse mAb 2â4,5
feline anti-mouse,4
mouse mAb 2â4-treated cats,1
HRV C,1
SARS-CoV (SARS-PK,1
human 293T cell-line,1
rat species,1
chestnut spiny rat,1
bandicoot rat,1
picornavirus species,1
lymphocytic/monocytic inflammatory infiltrates,1
Chicken Avian coronavirus,1
IBV TW-like,2
QX-like strain,3
GD virus,1
QX-like IBV strain JS,1
IBV GD,1
QX-like JS,1
H3N2 influenza virus reassortant combinations,1
Virus pseudotyping,1
pseudoparticle,9
X-31,2
strain-matched,2
HA-NA,4
HA/NA co-transfected cells,1
high-titer,7
virus-specific reads,1
Wolbachia,12
Culex quinquefasciatus,3
insects,5
coronaviral poly(A,5
coronavirus poly(A,2
filoviral infections â,1
Syncytial Virus Subgroups A,1
RSV-A,23
RSV-B,25
RSV-B cocirculated,1
Serotype-Specific,1
whole-virus,8
DENV E-protein,1
Hepatitis Viral hepatitis,2
time-of-addition,3
Piscine orthoreovirus,1
Piscine orthoreovirus (PRV,1
shedder fish 4,1
PRV,22
human faeces,3
virus-like particle capsid proteins,1
Mycobacterial liquid culture,1
Mycoplasma pneumoniae (9,1
influenza virus C (9,1
adenovirus (7,3
cytomegalovirus (7 %,1
coronavirus O43,1
influenza virus C virus,1
mice Interleukin (IL)-17,1
pigs Macrophage colony-stimulating factor (,1
pig CSF1,1
pig IgG1a,1
avian leukosis virus (ALV),2
retrovirus 21,1
ALV-J strains M180,1
ALV-J LTR,1
retrovirus ev21,2
ALV-J strain M180,2
avian IAV isolates,1
tick-borne flavivirus,1
human pancreatic islet,1
Coronavirus Accessory Protein 4a,2
MERS-CoV accessory,1
coronavirus stress response,1
Human Trabecular Meshwork Exosomes,1
human trabecular meshwork explants,1
EU MSs,4
coronavirus (3.8%,1
virus-only,1
human anti-carbonic anhydrase IX (CAIX)-targeted chimeric antigen receptor,1
human anti-programmed,1
human anti-PD-L1 antibodies,1
Hepatitis B Disease,1
Human Disease Surveillance,1
IFV-A,3
Hepatitis E VirusâViral,1
HEV intrahost populations,1
Influenza Virus Protein PB1-F2,1
Mimivirus,4
Breed,1
feces,6
puppies,69
Holstein Cattle,1
Ruminants,11
feline lipase,1
Spec fPL,1
Feline liver,1
alphabaculovirus,1
A2MC2,4
A2MC2 virus,1
three-week-old piglets,1
Ingelvac PRRS(Â®,1
Buffalos,1
LSDV RPA,4
bovine papular stomatitis virus,1
cowpoxvirus,1
Blue tongue virus,1
Encephalitozoon,3
Anvillea garcinii extract,1
Anvillea garcinii Coss,1
human neutrophil,2
Human neutrophils,2
Zygophyllum gaetulum,1
H9N2 Influenza A Viruses,1
Mice H9N2 Avian influenza virus,1
NJ06 virus,3
influenza virus subtype,1
SD Â±,6
Enterovirus D-68,3
Sclerotinia sclerotiorum,2
Aspergillus foetidus,1
coronavirus in cells,1
DENV UFS,1
flavivirus genome,3
lizards,2
seroconvertors,2
Ehrlichia secretes,1
Virus Strains JSLS-1/2015,1
porcine pathogens,5
porcine circovirus 1,1
porcine astrovirus 4,1
rotavirus A,15
porcine cytomegalovirus,8
Specimen Type,1
non-structural polyprotein,3
nsP2 proteaseâs,1
non-structural polyprotein P1234,1
CHIKV nsP2,6
P1234,4
human IFNL4,1
Human Adenovirus 7d,1
D510G,2
Xenopus tropicalis,2
X. laevis,1
TGEV infected,1
Virus Gn/Gc Polyprotein,1
Zika (PRVABC59,1
C57Bl/6 Mice,1
B6 WT mice,1
B6 WT,1
"human liver tissue Î±-1,2-mannosidases",1
HBV cells,1
Aedes populations,2
week-old pigs,6
human fetal lung fibroblasts,1
human fetal lung cells,1
rhinovirus (RV)/EV,1
Genogroup I Picobirnaviruses,1
genogroup I picobirnaviruses,1
PBVs,4
otarine PBVs,1
Avian coronavirus infectious bronchitis virus,6
IBV 3575/08,1
specific-pathogen-free chickens,7
immune-deficient hosts,2
lymphopenic,2
bats BM,1
bats immune cells,1
murine influenza,1
influenza virus Influenza virus (IFV,1
human cervix cancer HeLa cell,1
mice tumor,1
mice tumor tissues,1
Ebola/Lassa,1
HCoV respiratory specimens,1
Rhinopithecus roxellana,2
Colobinae,1
human brain tissue,1
CH/ZMDZY/11,4
T-SPOT.TB,1
H5N1 influenza virus H5N1,1
splenic extrafollicular T-cell zone,1
B-cell follicles,1
bovine type II collagen,1
rabies immune globulin,1
Swine Fever Virus Database,1
human cell cultures,2
human 3D RWV-derived aggregates,1
Griffithsia species,1
mouse peripheral blood mononuclear cell,1
Sf21,1
equine airways,2
Equid herpesviruses (EHV)-1,1
equine adenovirus-1,1
equine influenza virus,4
EHV-5,1
EHV-4,2
EAdV1,1
ERAV,6
EHV-2 DNA,2
C. coli,2
EV-A71,15
Human Coronaviruses Human coronaviruses HCoV-OC43,1
SCT,1
pneumoniae,4
children CAP,2
HHV6 (,1
Viral vector-based influenza vaccines,1
virus-specific B-,1
CaKoV,12
chicken swabs,1
A/H5N1 virus,6
A/H5N1 viruses,1
A/H9N2,2
nasal/throat swab samples,1
nidoviruses like corona-,1
CMVs,2
murine CMV,2
T2D patients,1
HBV cccDNA,1
stallions,2
Equine SNP50,1
equine chromosome 11,3
EAV cellular receptor,1
Mice CCR2,1
HSV antigens,3
Serums samples,1
RV-specific,6
alecto bone marrow-derived dendritic cells,1
SARS-like Coronaviruses,1
PEDV stool,2
Folkman,1
Zika virus-infected patients,2
avian influenza virus H7N9,1
avian influenza H5 viruses,1
Coronavirus Macrodomain,1
macrodomain,3
human bronchial epithelial cell line,4
SARS-CoV macrodomain,1
non-human influenza viruses,1
Swine Influenza A Viruses,1
swine H1 viruses,2
swine H1 virus,1
swine H1 influenza virus,1
swine IAVs,3
Swine Farms,2
PEDV S,16
ALV-J strain,1
chicken primary monocyte-derived macrophages Avian leucosis virus,1
chicken primary monocyte-derived macrophages,2
Myxovirus resistance 1,1
ALV-J immune,1
YF,15
vaccinees,20
lyssa-,1
D. rotundus,2
Bos taurus,6
Human Heavy-Chain-Only Antibodies,1
Murine Transgenic Plasma Cells,1
human immunoglobulin loci,1
mouse plasma cells,1
human HCAb,1
PEDV antisera,1
TGEV hyperimmune antisera,1
Simian Retrovirus type 1,1
eGFP-encoding EBOV,1
EBOV minigenomic,1
Rat Polyomavirus 2,1
rat polyomavirus 2,1
human panpolyomavirus,1
vole polyomaviruses,1
Rattus norvegicus PyV1,1
NOD-SCID mice,1
mouse-adapted AIV,1
mouse-adapted H9N2 AIV,1
HPV major capsid,1
Alpha-9 (HPV16-like) species,1
L1,1
non-vaccine Alpha-9,1
virus-induced cellular,2
Influenza virus (IFV,1
Avian H11 influenza virus,1
H11N2 AIV,1
H11 viruses,3
H11N2 virus,1
clade A strain,1
clade A,3
clade B strains,1
human isolates EMC/2012,1
clade A lineages,1
clade B isolates,1
lineages B4,1
human neural stem cells,1
mouse neurospheres,2
Porcine Jejunum Tissues,1
PEDV YN13,2
PEDV strain YN144,1
coronavirus membrane,18
1C3,2
TGEV membrane,3
herpes simplex virus-2,2
Sprague Dawley rats,8
HIV-Env pseudoviruses,1
rat fecal extracts,1
Equine Immunoglobulin,1
Equine Neutralizing F(abâ²)(2,1
WNV virus-like particles,1
WNV M,1
equine F(abâ²)(2,1
equine immune antibodies,2
equine immunoglobulin,2
Gammaretroviruses,2
GaLV,4
gibbon ape leukaemia virus,1
gibbons,1
PERVs,8
coronavirus (28Â·6,1
Human Viruses,4
Murine Models Dendritic cells,1
antigen-specific Foxp3(+,1
"H1N1 (n=92,948",1
MERS-CoV (n=308),1
Feline Herpesvirus-1 Feline herpesvirus 1,1
feline upper respiratory tract disease,1
bovine herpesvirus-1,17
psittaci,1
paramyxovirus brain,1
retroviruses Viruses,1
Rotavirus A,3
Lonicera japonica,9
Simian Immunodeficiency Virus Env-Driven Viral,1
SIV-Env,1
Human Blood,1
Suidae (Sus scrofa scrofa,1
Iberian,14
panther,2
Pseudorabies,1
HCV MW,1
human norovirus strain (GII.4,1
human cellular,10
Escherichia coli fimH,1
E. coli ag43,1
SARS-CoV spike glycoprotein,5
human coronavirus SARS-CoV.,1
S2 subunits,22
SARS-CoV surface,1
cryo-electron,3
SARS-CoV receptor ACE2,4
influenza virus strain A/Puerto Rico/8/34,1
human A549 cells,6
equine herpesvirus 1,3
Viruses Donât,1
Mastomys,7
M. natalensis-borne arenavirus,1
filovirus VP40 matrix,1
VP40 PPxY,1
MARV VP40,1
mVP40 virus-like,1
VP40 VLPs,1
coronavirus polyproteins,2
N-terminal Ubl2,1
Coronavirus Infectious Bronchitis Virus Beaudette Strain Lipid raft,1
IBV non-structural,1
antibody-enhanced,2
respiratory syncytial virus A (,1
Syrian,17
SFTSV nonstructural,1
patients sputum,1
human Î±-fetoprotein,1
human AFP,2
baculovirus inoculum,1
human liver cancer cell line Bel 7402,1
canine adenovirus type 2,9
canine herpesvirus 1,1
simplex counterpart,1
Viral Co-Detections,1
HMPV-infected children,1
children 12â23,1
PEDV samples,1
HBoV) P5 promoter-transcribed,1
HBoV nonstructural protein NS1,1
HBoV capsid,1
HBoV 3â²,1
bovine parvovirus,15
canine minute virus,1
porcine sapovirus,3
Sapoviruses,1
sapovirus host factor,1
Viruses' Replicases Viruses,1
mouse mast cell protease-1,1
human liver sinusoidal endothelial cells,1
human DC-SIGNR,1
Mycoplasma synoviae,4
chicken breeder,1
avian metapneumovirus subtype B,1
WU Polyomavirus Isolate,1
human polyomavirus 4,1
Spine Balance 3D,3
West-Africa,1
mosquito-borne Zika virus,4
ZIKV envelope,8
seven-day-old pups,1
ZIKV intraperitoneal,1
Pups,5
Spiroplasma eriocheiris Adhesin-Like Protein,1
Spiroplasma eriocheiris,1
Chinese mitten crab Eriocheir,1
S. eriocheiris,3
mouse embryo fibroblasts,5
3T6-Swiss albino,1
S. eriocheiris surface,1
"65,124 CKD patients",1
CHIKV E1 glycoprotein,1
CHIKV E1,2
VP2 EF,1
Human dendritic cellâspecific intercellular adhesion moleculeâ1,1
Drosophila CG3303,1
Drosophila nervous,1
human immunodeficiency virus (HIV)/hepatitis C virus,1
E. coli LigT,1
HCoV-OC43 genotypes F,1
lineage A.,1
Coronavirus Replication/Transcription Complex-Associated Proteins Coronavirus,1
CoV nonstructural proteins,1
encephalitis,1
coronavirus outbreaks â,1
wildlife bats,1
human papilloma virus,13
maedi/visna virus,2
canine parvovirus enteritis,1
Canine parvovirus type 2,9
Viruses among Stem Cell,1
human rhinovirus-LRDs,1
human parainfluenza,6
Vesicular Stomatitis Virus-Vectored Multi-Antigen,1
BCG-infected mice,2
8-month-old,4
Porcine Intestinal Epithelial Cells Porcine,2
Hyporthodus septemfasciatus,1
VNN,1
NNV,4
enterovirus/rhinovirus respiratory,1
Escherichia coli transformants,1
gentleman,2
Human Enterovirus 68 Interferes,1
ChinaâVietnam border,2
chicken infectious bronchitis,2
Ma5 + 4/91,1
Chinaâs organ,1
anthrax lethal toxin,3
anti-anthrax material,1
Feline Infectious,4
grape seeds,1
hepatitis E.,4
virus-specific nucleic acid,1
Human Effector CD4(+,1
human CD4(+) T cell/monocyte cocultures,1
human interferon (IFN),1
ASFV p72,3
ASFV DNA,2
Avian infectious bronchitis virus,7
IBV B,3
IBV A,1
coronavirus endonuclease,1
coronavirus EndoU,1
Î´,2
Human Junctional Adhesion Molecule 1,1
human plasma membrane,1
human junctional adhesion molecule 1,1
non-consensual IDC,1
cross-breeds,2
C. xiaoi,2
C. ubiquitum,3
C. parvum IIaA17G1R1,1
sheep breeds (F,1
high-titer pseudovirus,1
rabies pseudovirus,1
high-titer pseudoviruses,1
Human enterovirus 71 protein interaction network,1
PCV2-positive sera,1
PCV2-infected mice,1
hepadnaviruses,10
hepatoviruses,3
hepatovirus,5
hepacivirus,3
roundleaf,1
serotine,1
Dengue virus-infected subjects,1
guinea worm,2
human adenovirus 7,2
Human adenovirus 7,1
HAdV-7 strains,1
human influenza A(H7N9,3
Aspergillus fumigatus,9
Virus Serotype 1,1
DENV serotype 1,3
focus-forming,1
primate MAb,1
DENV1 virus,1
DENV4 type-specific,1
DENV1 serotype,1
DENV1 clone,1
GBCS,1
syncytial respiratory virus,9
Nile virus replicon particles,1
Zika viruses,13
Nile virus replicon genome,1
avian influenza A(H5Nx) virus clade 2.3.4.4,1
H5N8,4
H5N2 viruses,1
lethal human,2
H5N6 virus,1
clade 2.3.4 H5,1
clade 2.3.4.4 H5,1
influenza virus H5,1
clade 2.3.4.4 virus isolates,1
virus clade 2.3.4.4 H5,1
Coronavirus Middle East respiratory,7
llamas,26
virus-specific antibodies,12
lyssavirus species,1
meso-carnivores,1
canine populations,5
MERS-CoV antigens,1
RSV immunochromatography-tests,1
coronavirus ribonucleoprotein complex,1
plaque-purified,3
plaque-purified virus,2
human T-cell leukemia type-1 virus,1
pathogen-specific T-,1
Porcine Hemagglutinating Encephalomyelitis Virus,9
human cardiovascular tissues,2
human heart,1
human heart [Pyr(1)]apelin-13((1â12,1
human saphenous vein,1
human atria,1
rodent apelin receptor,1
MERS-CoV clusters,3
neurovirulent coronavirus,3
children â¤ 6,1
Human Rotavirus,2
Gn pigs,4
protein-malnourished children,1
human infant microbiota-transplanted neonatal pig,1
bovines,19
Inpatients,5
influenza virus type,4
Rotavirus NSP4 Viroporin,1
Rhesus macaque IFITM3,1
rhesus macaque,3
FLUAV,17
boy,27
Paramyxoviruses GS-5734,1
sore throats,1
influenza virus A H1N1n,1
Coxsackievirus A10,2
hCoV OC43,3
rat brain,18
C6-deficient rats,1
ZIKV infectious clones,1
recombinant virus isolates,1
Chinese herbs Chinese,1
Human lung fibroblast cell line MRC5,1
HSV immediate-early (IE),1
HSV-induced NF-ÎºB,1
Herpes Simplex Virus Type-1,1
rotavirus-like particles,1
naÃ¯ve pups nursed,1
PRRS Virus,3
Pietrain pigs,1
nematode viruses,1
rat mast cell like cell line,1
human HCC tissues,1
Huh7 xenograft,1
calicivirus Rabbit,1
cockroaches,3
hCoV-OC43,2
hCoV-HKU1,10
N. meningitidis (W),1
coxsackie B virus,2
Human metapnuemovirus,1
May. Childrenâs,1
2-day-old pig,1
PEDV genome,6
DNA-launched,16
MERS-CoV infects cells,1
MERS-CoV S glycoprotein,4
human primary peripheral blood monocytes,1
MERS-CoV virus-like,1
MERS-CoV VLPs,6
human metapneumovirus in 6 (,1
human respiratory syncytial virus in 3 (,1
human coronavirus in 1 (,1
human tonsils,2
Hemagglutinin Head,1
mouse alveolar,1
A/H5,3
A/H7,3
Human paramyxoviruses,2
heptad-repeat regions,2
parainfluenza F-derived,1
Mycoplasma,19
acute-onset,4
feral flea-infested cats,1
feline coronavirus antibodies,3
FeLV antigenaemic cats,1
HAdVs circulating,1
HAdV- 4 genome,1
HAdV-B species,1
mouse xenograft-based,1
MERS-CoV DNA Vaccines,1
MERS-CoV S protein,7
Polynesia,2
HIV-1-encoded Tat,1
Tembusu Virus,2
Tembusu virus,3
TMUV,7
HPIV-3 (,1
Klebsiella pneumaniae,2
Hybridoma,2
murine antibodies,1
H5N1),1
Avian Influenza A Viruses,1
LPAI CFR,1
H5N1 clusters,1
Coronaviruses MHV,1
lineage C betacoronavirus,4
MERS-CoV viruses,4
influenza-induced lung,1
bovine Lf,1
NOD Mouse Renin angiotensin,1
mouse serums,1
mouse squamous cell carcinoma cells,1
âspatial rheostatâ,1
human metapneumovirus],1
adenovirus IgG antibody,1
â¥38 Â°C,1
Hand-Washing Sink-Trap,1
influenza A/WSN/33-infected cells,1
influenza A virus M2,5
RealStar RSV,1
bat SARS-like CoVs,6
Saffold cardiovirus,3
SAFV-2,2
Zika virus Zika virus,1
Porcine Kidney Epithelial PK15 cells,1
Pseudorabies virus Pseudorabies virus,1
MERS-CoV DPP4 receptor,1
MERS-CoV clone,1
mouse organs,1
PRRSv,16
endemically,5
Modified-live PRRSV subtype 1 vaccine,1
modified-live PRRSV subtype 1,1
vaccine UNISTRAIN(Â®,1
PRRSV subtype 3,2
IBDV strains,1
PRRSV â,1
bovine respiratory disease complex Bovine respiratory disease complex,1
bovine respiratory pathogens,3
bovine adenovirus 3,3
bovine adenovirus 7,1
