CELLULAR_COMPONENT,frequency
LTR-IV,1
Podoviridae,2
Siphoviridae,3
Cryptosporidium DNA,1
Interferon Î²-1a,1
interferon (IFN)-Ã,1
fibre,1
genome equivalents-to-infectious,1
immune-electron,2
single-membrane vacuoles,1
fecal microbiota,13
endoplasmic reticulum transmembrane,1
axonal tracts,2
Deletions,1
RVLPs,1
long fibers,1
cell cytosol,2
heparan glycosaminoglycans,1
Enterobacter agglomerans,1
autophagic structures,1
Cladosporium,3
E. coli-containing,1
M. bovirhinis,3
Cell surface aminopeptidase N (APN,1
virion envelope,14
Actinidia spp,1
paraspeckles,2
epithelial Na,1
Transmembrane,10
Sides,2
MS2-like particles,2
SLC10A1 locus,3
intra-host (viruses,1
interferon (IFN)-alpha,2
V1/V2,5
exosomal membrane,1
exosomes pseudotyped,1
endolysosomes,11
Single-Round,1
dendrite,2
axon,1
bacterial 16S,5
matrix exponential,1
gB,1
copathogens (,1
V4,3
Long Terminal,1
LTR G4s,5
LTR G4,1
virus matrix,2
Phenanthrenes,1
nicheâlike proepithelial,1
ellipsoid zone,1
adenosines,2
chromosome 5,1
T.,3
intra-host,4
filament,2
extracellular vimentin,2
antibody-binding,2
chromosome 18,1
2000s,2
junctional,8
nuclear factor-ÎºB-dependent,2
fluid membranes,1
plasma membrane vesicles,1
M. Briones,1
M. Kucukerden,1
M. Ojima,3
M. Sharshir,3
M. Aburageila,1
S. Alharbi,1
K. M. Meissner,1
K. Mandragos,1
V. Navapurkar,1
K. Kefala,1
K. Corkery,1
N. Purayil,1
M. Astraverkhava,1
M. Nastou,2
V. Panagiotidou,1
Evans P134,1
L. Dallan,1
A. Cudia,1
M. Strachinaru,1
K. Maghrabi P199,1
M. Ãnal,1
L. Lewerentz,1
L. Melro,1
L. M. Malbouisson P229,1
L. Schirca,1
L. Neilans,1
K. Noeam,1
veno-arterial ECMO,1
M. Strueber,1
L. Lagunes,1
L. Jamaer,2
S. Kajiwara,1
N. Ãcal,1
S. Ãzer,1
M. Aggou,1
AT Tesnieres,1
M. Irqsusi,1
L. Loukipoudi,1
E. Doumaki,1
M. Tjepkema-Cloostermans,2
L. Dawson,1
K. Manavidou,1
M. Khurshid,1
M. Takinami P392,1
M. Malheiro,1
K. Thavorn,1
M. Te Raa,1
S. Vanwing,1
cristal,1
D. Forte,1
CMV-DNA,1
Mitochondrial DNA,2
somatodendritic compartment,2
AISs,1
S-phase,3
7e-loaded microspheres,1
envelope glycoprotein,15
bacterial surface,6
Se,14
SDT,6
Apical Junctional Complex,1
epithelial junctions,2
IBV ribonucleic acid,1
Klebsiella,4
aqueous extract,3
ETEC,7
enterocytes,20
outer membranes,4
LPS-primed IPKM,1
Tubuloreticular Inclusions,1
extracellular Î±-CGTase,1
blue-green alga,1
microfilament,3
transframe,5
PLPs,4
Sialic Acids,1
particle surface,3
endoplasmic reticulum-specific,2
furher,1
chromosome 1,7
Leptospira spp,3
RV envelope,2
ribosomal â1,1
long-paused,1
luminal membrane,2
lamellipodia,1
virion-containing vacuoles,2
TRIMs,1
flavonoid-rich extract,1
NP polymers,1
H7 DNA,3
Spunlace,1
vacuolar ATPase,3
DSEs,1
LIR,1
faecal microbial,1
cellular endoplasmic,1
Endoplasmic,2
membranous vesicles,2
non-biohazardous,1
N-terminal quadruplex,1
extracellular membranous,1
Toxoplasma parasitophorous vacuoles,1
Cell-free,8
virus-to-cell,2
S. Food,2
substrate-dependent,1
mitochondrial pyruvate,2
mandarin orange,1
gRNA,17
subviral elements,1
Rab5-,5
apical MERS-CoV,1
Telomere,1
telomeres,5
nsPs,7
amastigotes,3
substantia nigra,5
TYMV,4
mycoplasm,1
brain-resident,3
envelope lipid,3
endoplasmic reticulum membrane Hepatitis C virus,1
trans-Golgi network,54
TGN,46
PEDV 8aa,4
Cytoskeletal,4
cell structures,1
double-membrane autophagosomes,1
mitochondrial Rho,1
CCR2-dependent,2
interferon (IFN)-inducible,1
DPP-4/GLP,1
SSE,5
inter-clade,1
vDNA,2
endo/lysosomal,2
Leptospira (3,1
mitochondrial antiviral-signaling,4
ERC,1
PapMV,1
budding virions,5
ginseng root extract,1
neuromuscular junctions,1
chromosome architecture,2
centromeric,4
pericentromeric,1
cellular cytosol,1
Pneumococci,1
exponential adjustmentâ,1
Mitochondrial Antiviral-Signaling,1
late endosome/lysosome membrane,1
mitochondrial Ca(2,4
endoplasmatic reticulum (ER)-anchored,1
endomembranes,4
rod,5
DNA parvoviruses,1
bacterial enzymes,2
extracellular ADA,1
Neisseria,2
virus nucleocapsid,1
M. gallisepticum,1
MeV envelope hemagglutinin,1
Clostridium difficile,4
cup-like structures,1
medial preoptic area,1
medial amygdala,1
PMCo,1
c-Fos-immunopositive,1
Rab4-positive,1
Rab11-positive,2
TBCs,3
cell membrane-bound,1
microchromosome,2
hydroalcoholic extract,2
cytosolic material,3
neuronal ceroid,3
Neuronal ceroid,1
virosomes,2
Telomeres,1
Penelope-like elements,1
intrahost genome,1
CXCL11 AUC,1
YMV coat protein,1
YMV,2
cellular calcium,1
cellular endomembranes,2
fission,17
fusion/fission,1
nanofibrous membranes,3
Self-Swabbing,1
methanolic extracts,4
subgenomes,2
HuRVC/H28/2013/India,1
monosomes,2
virus-like elements,1
TTV DNA,1
membrane CD13,1
Ornithogalum caudatum,1
cell carbohydrates,1
single-membrane,2
single-membrane ROs,1
NP FARP,8
Germinal matrix,1
grape powdery,1
cytosolic membrane,2
âopen viewâ,1
eIF4A,4
small extracellular,1
episomal cccDNA,1
Leptospira (2,1
95-bp,1
outer membrane lipoprotein,1
binding-assay,1
fecal oocyst,12
long fiber,1
fiber knob,1
Retroviral envelope,1
promastigotes,3
interferon,6
Legionella species,1
bacterioferritin,2
quaranjavirus,1
Polygonum aviculare,1
TEMs,8
IDO1-mediated,1
cell bacterin,2
DNA cytosine deaminases,2
pullulans,2
Broussonetia papyrifera,1
Broussonetia papyrifera-derived polyphenols,1
sperm antibodies,1
Epithelial edges,1
perinuclear membrane,2
neonatal microbiota,2
apical area,2
parasitophorous vacuole membrane,1
NF-ÎºB,3
E. crandallis/weybridgensis,1
L. rhamnosus,1
geminiviruses,1
tomato yellow leaf curl disease,1
tomato yellow leaf curl,1
ty-1/ty-1,1
Ty-1/ty-1,1
Pei-Yong,1
surface mannose,1
copathogens,2
transwell membranes,1
PEDV nucleocapsid (N),3
Zn,8
clade 2.3.4.4,1
sialic acidâdependent,1
Vesicles,5
virus vesicles,1
organelle structures,1
late endosomal/lysosomal,1
LE/L,1
LE/L cholesterol,1
plastid genome,2
antigenome,7
eubacteria,7
arginines,7
scots pine,1
S. mutans,1
TuMV,7
2015/16,1
erythra,1
ehrlichiae,1
S-Bac,1
pre-membrane,3
focal features,1
extracellular lipid,4
clones D11-3,1
membranous neo-organelles,1
membranous tubules,1
focal crackles,1
focal,6
enterocytic,1
eosinophil bodies,1
Phytochemical Medicines,1
E. angulospora,1
E. castellanii,1
DNI,4
Glucosinolates,1
Isatidis,1
mitochondrial cyt b,1
Cordyceps,3
ascomycetous fungi,1
Isaria cicadae,1
IBV antibodies,2
rosette-like structures,1
receptor-surface,1
HA-NA-receptor,2
Eimeria oocysts,2
vesicle-like structures,3
Nuclear factor-ÎºB,2
surface water,11
extracellular bacterial,1
IL6,4
late endosomal,3
trans-Golgi-network membranes,1
lysosomal membranes,1
lysosome-related,2
cap guanosine,1
IAV-specific antibodies,1
host membranes,7
synaptic architecture,1
extracellular collagen,1
phagolysosomes,1
intracellular HOCl,1
Salmonella Gallinarum,1
Cystoisospora,1
noncompendial,1
outer-capsid,2
Biflavonoid Amentoflavone,1
22-bp DNA,1
Ecklonia arborea,1
Phaeophyceae,2
Cell surface,9
SeNPs,2
CSPGs,1
spiky surface,1
pre-Golgi,27
endoplasmic reticulum (ER)âGolgi,2
centrosome,6
Golgi ribbon,1
123 circular,1
SSCI,1
Enterobacter,1
circular double-stranded,4
NGS,2
stx1,1
EHEC O26:H11,1
ESCRT,2
endolysosomal membranes,3
SCV,1
SCV bactericidal agents,1
cellular DNA,6
primordial RNP,3
ESIs,2
enveloped vesicular stomatitis virus,1
Extracellular Matrix Metalloproteinase Inducer EMMPRIN,1
sialic,3
interferon Î»4,1
NTDâRdRP,1
mRNA-independent,1
codetected microbial,1
cell body,6
macropinosomes,5
macropinocytic vesicles,1
human-derived intravenous Ig,1
extracellular vesicle,2
Extracellular vesicle,1
nuclear VP40,1
Nuclear VP40,1
inter-microbial,1
DinB,1
basolateral virus,2
HCV-induced membrane,2
virus capsid,1
Plesiomonas shigelloides,1
Plesiomonas,1
Silver nanoparticles,3
mitochondrial ISGylation,1
SERS-encoded,1
Polygonum cuspidatum,1
Listeria innocua,1
outer mannose,1
flavonoid quercetin,1
Salmonella enteritidis,2
mitochondria membrane,1
Donglingcao,1
DNA VaccinesâHow Far,1
equisimilis,1
6.5Â±0.0,1
S. dysgalactiae,1
membrane phospholipids,7
non-PLA(2,1
dromedary DPP4,2
neonates,2
double-membrane-bound vacuoles,1
Salmonella enterica serotype Heidelberg,1
M.tb,2
Neutrophil extracellular,2
capsid nuclear,1
diaryl-quinoline,1
Methanolic Extract,1
methanolic extract,3
re-localize,1
FFV,4
TiV,1
Shigella,7
Microbiome,1
surface microbiome,1
faecal microbiota,9
DNA-PCR,1
XYBX1332,1
anti-bacterial,3
NC membrane,1
cryptophyte algae,1
bacteriophage,5
periphery,14
long term-storage,1
EL membrane,1
short-range large-droplet,1
Pelargonium sidoides radix extract,1
sarcomeres,1
Cellular membranes,2
Rab7-dependent,3
Intracellular DNA,1
sialoglycoconjugate,1
social network,2
chromosome 8,1
chromosomes 4,3
chromosomes 8,1
DIPs,6
diphtheria,1
PEDV nucleocapsid,3
Spin-Tube,1
autophagolysosomes,2
subgenera Sarbecovirus,1
Nobecovirus,1
transchromosomal bovine,2
host-cell nuclear,1
host-cell cytoplasm,1
Vaccines Vaccines,1
Hypnea musciformis,1
HML,1
equatorial,1
IBV (,1
Nuclear DNA,1
neurotransmitter,6
cell-free mitochondria DNA(ccf-mtDNA,1
presynaptic membrane,1
N-terminal extracellular,1
NA-containing virus-like,1
long Î²-HCoV,1
endosomal cathepsins,11
Surfactin,3
phagophore,1
vacuole membrane protein 1,1
enterovirus A71,2
basal autophagic,1
enterocytes lining,2
small membrane,10
PEDV ORF3,3
cell organelles,7
peroxisome,2
Pelargonium sidoides extract,1
VP7-specific,1
M. cynos,14
NIMCU,1
PEDV antibodies,3
endoplasmic reticular,1
UCAUC,1
TIA/G3BP/PABP-specific,1
ribosomal subunits,3
endothelial basal lamina,1
gG,2
cortical actin cytoskeleton,1
plasma membrane structures,1
membrane vesicle structures,1
filamentous viruses,4
K63-linked,1
DpCPV,3
spike-mediated virus,1
apical progeny virus,1
Secretory Nanoparticles,1
coat proteinâs,1
trypanosomes,3
mycoviruses,1
ascomycete fungus,1
Citrobacter rodentium-induced colitis mouse,1
Vesicular Stomatitis Virus-Based Vaccine,1
SVV,1
Organelle,2
organelle-like structures,4
convoluted membranes,1
M. piperita,1
host-range,2
ORF8b,2
cytosolic dot-like structures,1
surface-exposed,2
B[a]P-induced intracellular reactive oxygen species,1
B[a]P-induced DNA,1
amoebae,2
amoeba,3
Egg Yolks,1
autophagosome-like vesicles,2
Non-retroviral,1
non-long terminal repeat,1
non-LTR,5
LTR retrotransposons,1
Acidic Intracellular Vesicles,1
NNSV,2
autophagosomal LC3,1
phagosomes,6
CR1 surface,1
focal area,1
envelope trimers,1
mucous membranes,17
keratinocyte extracts,1
3â²-polyadenylate tail,1
mRNAsâsupport,1
EOs,1
Small Extracellular Vesicles,1
small extracellular vesicles,1
cytosolic dsDNA,1
dromedary genome,1
SARS-Nsp13-dsDNA,1
C-terminal tail,1
Ecklonia species,3
DNA Vaccines DNA,1
outer-,5
chromosome 6,3
subcellular organelles,2
bacteriophage QÎ²,5
Membrane Vesicles (OMVs)-Based,1
outer membrane vesicles (OMVs)-based,1
Endosomes,6
Lysosomes,6
Eptesipoxvirus,1
microglial networks,1
host-viral membrane,1
virus-host membrane,1
Salmonella bacterin,1
Salmonella enterica serotype,1
non-lytic rifampicin,1
L. intracellularis,3
L. intracellularis-infected enteroids,1
cell surface-specific,1
NHC,3
bacteriophage Î»,1
CysHis,1
CD63-containing extracellular vesicles,1
CD63-containing EVs,2
reticular basement membrane,1
basal detrusor,1
Cumilla,1
Pelargonium sidoides extract EPsÂ®7630,1
Heparan Sulfate,5
interphase,4
Neonates,2
DEDDh,1
vacuolar proton,3
reenvelopment,1
endoplasmic reticulum (ER)/Golgi,1
Silver,2
BPI-3V,1
chromosome V,3
cytosolic speckles,1
Treponema pallidum,1
Interferon Alpha-Induced,1
Ribosomal DNA,1
Yeast Lessons,1
cytosolic ubiquitin,1
Flagellates,1
anemones,1
mannose-containing glycans,1
glycocalyx,4
genome nucleotide,1
VPg-linked,2
long hair,1
basal layer,1
microbiome-transcriptome,1
secretory compartment,1
Mitochondrial Permeability,1
mPTP,2
co-bacterial,1
exopolysaccharides,3
EPSs,6
EPSs 15a,1
Dromedary,2
Peritrophic Matrix,1
mucous extracellular,1
peritrophic matrix,4
nonhomologous,15
unilamellar vesicles,7
GUV,1
Cymbidium mosaic virus (CymMV)/Odontoglossum,1
ORSV,1
mycoplasmal,6
M. hyopneumoniae nasal,1
PIBO,5
6âstage,1
envelope surface,5
surface swabs,2
M2-like,1
gamete membranes,1
fertilization-competent,1
acrosomal,2
oolemma,1
sperm surface,1
DRGs,1
forage feeding,1
NRM,3
cis-cleavage,4
Foals,4
LX4-type,1
NP surface,1
substantia nigra pars compacta,1
SCHU P9,4
intracellular endosomal,1
super-mammal,1
feed matrix,1
nucleocapsid (N)-based,1
high-potential,1
ARSs,2
double-membrane spherules,2
6-nt,2
9-nt,15
micronucleus,1
O114,1
fecal microbiome,5
Double-membrane vesicles,1
virus membrane glycans,1
viroplasms,13
viroplasm,5
oriP,1
EPA,5
LTRs,6
yeast-like fungus,1
Streptococcus dysgalactiae,2
motif-C,2
ITS-rDNA,1
NS7,13
aryepiglottic membrane,1
Naylor,1
Antivirals Lignans,1
mitochondrial DNA-dependent RNA polymerase,1
extracellular lactate,2
thioredoxin-like,1
non-structural enzymes,1
Intracellular Vesicle,1
membrane bilayers,2
juxtamembrane,3
Probe Capture-Based,1
Isatidis Radix,7
nuclear factor-kappa,1
powerhouses,1
mitochondrial network,3
long reverse-frame,2
surface fluid,1
EP-4E88,1
cytoplasmically,7
nuclear factor-kappa B (NF-ÎºB)in,1
NiV-G,6
Endothelial Molecular,1
picorna-like virus,1
endocytosed,6
multi-branched sugars,1
Mycoplasma hyosynovie,1
tail fibers,1
mitotic chromosomal,1
cell-to-cell membrane,3
mitochondria (intrinsic)-,1
kinetoplastid,3
kinetoplastids,4
BVDV-2b,1
mitochondrial fatty acid Î²-oxidation,1
fecal bacterial,1
CDRH2,1
long CDRH2,1
CDHR3,1
rafts microdomains,1
amyloids,2
microbial amyloids,2
Golgi membrane,10
sub-membranous,1
picornavirus-like supercluster,3
Enterovirus A71,1
noncomplementary DNA,1
Viruses Probe,2
EHEC (,1
DNA-S,1
TR-DNA,1
bacteria/virus,1
tea tree oil,1
ETT,2
KretschmannâRaether,1
SPRi,2
membrane palisade,1
mushrooms,1
sdAb-Mc29,1
Lipid rafts,8
crude outer membrane,1
nidovirus ORF1b-encoded,1
capsid,2
63â73,1
kDNA,5
visceralization,1
Lys29,1
myelin lamellae,4
myelin sheaths,5
DNA l(â1,1
axolemma,1
cell bodies,7
dorsal funiculus,7
nerve fibers,2
CNS-type myelin sheaths,2
PNS-type sheaths,1
BCVs,1
microsomal membranes,13
axonal torpedoes,1
synaptic endings,2
outer layer,1
outer nuclear membrane,3
S.,2
SP6,2
peplomer,8
diluted-serum,1
SDA,4
immunoelectron,9
IgG2a,2
Mitochondrial HSP70,1
mitochondrial HSP70,1
antisera,3
CVLPs,5
clubshaped type,1
budding,1
srr,5
plasmalemma,6
TS-FIPV,8
juxtanuclear,6
cholesterol-dependent virus,1
TTSuV1,5
transmembrane matrix,1
peplomers,15
densest,1
Microvilli,2
apical tubulo-vesicular,1
microvilli,17
intravacuolar,1
small circular DNA,1
Viruses [ICTV],1
9-nucleotide,3
BRCV-G95,1
DEAE-dextran,1
radial diffusion-haemolysis,1
radial nerve,1
MHV-A,1
spike-protein,1
2Aâ2B,1
Asp-Glu-Ala-Asp,1
corona-like virus,1
prM/M,1
caveola,1
immuno-electron,5
HVR2,1
apically,10
cellular lipids,1
pre-Golgi membranes,4
cellular cholesterol,4
yeast mannan,2
NADL-2,1
Sp7,2
566â584,1
O-linked glycopolypeptides,1
beta-propiolactone,3
M. fermentans,2
basal surface,3
apical cell membrane,1
apical vesicles,3
lysosome-like cytosomes,1
cytosomes,1
gut immunocytes,1
thaliana VP2,1
bialaphos,1
Agrobacterium tumefaciensby,1
E. bovis,2
E. ellipsoidalis,2
single-chamber,1
CTB-positive caveolae,1
telomeric DNA,1
Vesicular Stomatitis Virus,5
IBV particles,3
apical secretory granules,1
basolateral cell membranes,1
muscle fiber membrane,1
Traffic junctions,1
Micrococcus,1
microbial aerosolizations,1
interferon (IFN)-Î³.,1
21 dpoi,1
smooth-surfaced vacuoles,1
Golgi subcompartment,3
cytochemical Golgi,1
trans-most cisterna,1
trans-most,1
immune-specific,1
yeast mitochondrial 21S,2
SSU,1
DSBs,7
adult membrane,1
Sialylated N-glycans,1
erythrocyte membrane,1
1225-bp-long S/Pol,1
1225-bp-long,1
endoplasmic reticulum (ER)âGolgi,1
F-12,1
cell glycocalyx,2
M. pulmonis,35
IS 1-lacZ,1
Cryptosporidium bovis,1
raft-like structures,1
invaded ECM,1
alga K. alvarezii,2
bacteriophages,1
virus aggregates,1
Bacteriophage T7,2
yeast mitochondrial,2
mitochondrial genome,3
solvent/detergent plasma,1
Cellular membrane,1
plasma membrane cholesterol,3
L1 nucleotide,1
dorsal surface,1
astrocyte endfeet,2
CNS-type fibre,1
chromosome 14,4
ISREs,1
chimera,7
SeMNPV,1
Cal99,1
transmembrane ectoenzyme,1
mass-based,1
N-terminal acetyl,1
endoplasmic reticulum membrane,7
basement membranes,1
cyanobacterial lectin scytovirin,1
scytovirin,3
extracellular [(3)H]NA,1
extracellular catecholamines,1
ZJ971,1
OVA-NP,1
cellular iron,1
EBCV nucleotide,1
SCNT,3
endosome-like,2
presynaptic terminals,2
terminals,8
synaptic vesicles,1
astroglial plasma membrane,1
Transgenes,2
astroglial ascorbate,2
astroglial membrane,1
Tuber Extracts,1
Dictyostelium discoideum,6
eae (7,1
torulose mycelium,1
annellidic,1
plastome,2
SAA-TIA,1
S3 nucleotide,2
stilbenes,1
intracellular ascorbate,1
RNA-containing virus,1
X/15,1
hairy root,2
secretory granules,30
beef extract,2
bifidobacteria,1
RNA-DNA,1
secretory granule membrane,1
cell-derived vesicles,1
intracellular K(+,3
extracellular K(+,1
nearly-complete,1
envelope E,10
glial-pial,1
basal lamina,4
perinuclear compartments,1
Citrobacter rodentium,1
DSS-treated,1
bacteriophage MS2,3
chromosome 2,2
E4,2
pp1ab,3
cinnamon extract,1
Fomites,3
invaginations,3
extrachromosomal,2
Evans,2
interferon (IFN)-Î³,2
apical CXCR1,1
macronucleus,1
ciliates,1
Mycoplasma pulmonis,4
apical glycocalyx,3
cryptosporidium,4
ITRs,3
V259,1
Mycoplasma cynos,1
16S rDNA,1
multinucleated syncytia,1
ORNs,1
cell surface(1â4,1
endoplasmic reticulum membrane(9,1
brush-border membrane,1
sperm membrane,1
Ace,1
intracellular membrane structures,2
nuclear body,1
sarcomere,1
membrane fusionâa,1
focal segmental,2
"DNA microarray(5,6,7,8",1
microorganisms Intracellular,1
enteropathogenic virus,2
subcellular membranes,2
(+)RNA virus,1
GEMs,2
chromosomal loci,1
chromosome 4,3
NV,1
macrodomain,1
intracellular vesicle,2
bacterial membrane,5
event-distance,1
proteobacterial,1
tetraspanin-enriched,1
bacterial filamentous viruses,1
pneumonia-causing COVID-19,1
Pyrazolines,1
Virus-like particle,2
Netnews,1
NTPase/helicase,1
Plasma Membrane Aquaporins,1
Propolis,1
propolis,1
apical microvilli,2
desmosomes,2
vaccine oocyst,1
Electrodense material,1
biomass,1
IFE surface,1
635-bp,1
Coxiella burnetti,1
jirovecii DNA,1
mucus membrane,2
crown-like,2
NH(2,1
N66,1
N371,1
N385,1
yeast surface,5
Plasma Membrane Calcium Adenosine Triphosphatase Isoform 2,1
transepithelial calcium,2
apical plasma membrane,8
extracellular calcium,2
ESVs,2
sarcolemmal,1
cell byproducts,1
muscle fibers,1
myotube,1
mitochondrial peptidase,1
mitochondrial matrix,2
mitochondrial chaperones,1
Herb Formula,1
Golgi network,15
sub-Golgi,3
ER-Golgi membrane,1
medial Golgi,9
mucin-type,1
DNA microarrayâbased,1
mycobacterial species,3
Mycobacterium microti,1
basement,1
focal inflammatory,3
adaxonal myelin,1
zona pellucida,2
surface structures,2
Immune electron,6
yeast endoplasmic reticulum,2
mucosal tight-junction,1
Monascus pigment derivatives,2
Monascus pigment,1
Monascus orange pigment,1
confluent Crandel feline kidney,1
culture-derived nucleocapsid,1
electron-dense perinuclear,1
macrophage-derived TGF-Î²1,1
cremoris MG1363,2
L. acidophilus lactate dehydrogenase,1
lectin-mediated,1
24-kb,1
Eosinophil Product,1
feedlot BW,1
crude extract,1
basolateral membrane,7
chromosome 11,1
nuclear factor-kappa B-dependent,1
biverticillate penicillia,1
Myoviridae,1
IBV 3b,4
IBV 3a,3
Viruses Sialic acid,1
bacteriophage T7,5
Humans Vanadium,1
Prostasomes,3
prostasomes,1
eukaryota,1
mitochondrial aconitase,7
guanine-rich DNA,2
Neurovirulent Agents,1
endoplasmic reticulum-resident Î±-glucosidase,1
endoplasmic reticulum-resident Î±-glucosidases,1
I-SceI,1
host-cell carbohydrates,1
vesicular membrane,2
Sialic Acid,4
sialoglycoconjugates,1
nucleolar hostâvirus,1
RTCs):,1
trypanosomatids,3
step-change,1
host-cell membrane,8
outer bilayer leaflet,4
fold-back,2
SLBs,6
SLB,3
Season 2016/2017,1
multi-vesicular bodies,2
algae extract,2
SARS-CoV-2âPositive Sputum,1
endoplasmic reticulum (ER)-to-Golgi,2
nonessential components,1
PYF virus,1
Ni-NTA agarose,1
Membrane Microdomains,1
niger spores,4
NS4B-containing membranes,1
160S virion,1
mitochondrial ATP,1
filamentous fungus,2
inter-bacterial,1
gp120 surface,1
cytosolic aggregates,2
Stress Granules,4
VB,2
baumannii Extracellular OXA-58,1
Sec,1
periplasmic,1
extracellular OXA-58,3
outer membrane vesicles,3
OMVs,2
Sec-dependent,1
mitochondrial AIF,1
transchromosomal bovines,1
CIRV,1
SEVI,1
dendrites,11
dendritic spines,1
Intron,3
body TRSs,2
bulb-shaped membrane invaginations,1
actin-myosin network,1
spherule-containing vesicles,1
pericentriolar,1
synapses,4
multinuclear,1
self-splicing,1
endosomal/lysosomal,9
nuclear transport(10,1
DNA Flow-Thru,1
amino,7
Nexo-Cexo,1
Cores,2
TMD-dependent,1
anti-L. monocytogenes immune,1
epithelial IFN,2
Picorna-Like,1
Separated,1
ZAP,1
S2 membrane,1
focal axonal,1
nucleolar compartments,1
eubacterial 16S,1
homotypic aggregates,2
TLR9-expressing APC,1
TLR9-expressing CD14â,1
TLR9-expressing monocyte/macrophage,1
vesicular stomatitis virus neurovirulence,1
XMRV-specific,1
envelope lipids,1
cell surface-targeting,1
iVLPs,2
filamentous VLPs,1
D-RNAs,11
Turnip yellow mosaic virus,1
nsP2,2
extracellular particles,5
virion membrane,4
host macromolecular,1
Perineuronal Oligodendrocytes,1
perineuronal OLs,1
nidovirus Arteri-,1
Membrane Cholesterol,1
envelope cholesterol,2
vAC,1
NDV virions,1
extracellular CG-1B,1
intracellular double-membrane vesicles,1
Legionella pneumophila macrophage,1
Interferon,1
Nonconserved Cysteines,1
budded enveloped,1
Vitreous Specimens,1
E.Ts,1
virus budded,1
Tomato Mosaic Virus,1
monocytic cytoskeletal,1
anti-dsDNA,1
barley protoplasts,1
BMV minus-strand,1
TSPE,1
negative-stranded coat protein,1
IL-10-producing CD4(+,1
solvent-detergent,1
transmembrane envelope,1
EC barrier,3
Amino Acids,1
Capsids,3
capsid surface,3
nuclear PABPC-induced,1
Macrodomain,2
N-terminal tail,2
apical AACUAAA,1
Interferon Signaling,1
Viroplasms,2
intracellular NSP4,1
cap-like structures,1
Acanthamoeba castellanii,1
Nup62,6
-B3,1
tectorial membrane,3
tectorial membranes,1
outer hair cells,1
IBV transcription-associated,2
IBV D-RNAs,5
T7-derived,1
IBV D-RNA,1
D-loop,1
vOTU,3
Streptococcus viridans,1
infector/infectee,1
nonenveloped capsids,2
intracellular multivesicular body,1
intracellular cisterna,1
multivesicular body,1
mucoid material,1
viridis nidovirus,1
NS5a,2
Intracellular Membrane Vesicles Tick-borne encephalitis virus,1
intracellular membrane compartments,1
membrane-connected vesicles,1
S-protein-mediated membrane,1
TX-100-resistant lipid,1
host-cell membranes,3
membrane fusion-promoting,1
long nucleolar,1
ribosomal L1-domain,1
nucleolar nucleostemin,1
NS2a,2
N176,4
N237A,1
Et(3)Nâ¢3HF,1
VirScan,1
parasite-derived rOv-ASP-1,1
enveloped-virus,1
sgRNA1,2
mitochondrial calcium,1
cellular endoplasmic reticulum,1
att,1
mitochondrial fission,1
mitochondria ORF-9b,1
ToLCBaV,1
bilayer membrane,4
DNA RN,1
MATa,1
MATa locus,1
exocytic organelles,1
sitruinâlinked,1
intracellular endoplasmic reticulum (ER)-derived membranes,1
N-nsp3,2
Cucumber mosaic virus,3
satRNA genome,2
endoplasmic reticulum (ER)-associated,2
Salmonella FliC,1
5-nucleotide-long,1
picornavirus-like virus,1
Lo,1
20-nm-long homotrimers,1
sialoglycans,1
A27L,2
late autophagic,1
IBV vaccine,1
Proteasome,1
DNA supercoil,1
cell network,1
epithelial Na(+,2
membraneâendosomal membrane,1
cell-free virions,1
microtubule cytoskeleton,3
microtubule-organizing,1
IEV,4
thread-like,1
Endosomal,6
Endoplasmic Reticulum-associated,1
Endoplasmic Reticulum/Golgi Membrane,1
endoplasmic reticulum (ER)/Golgi membrane,1
ER/Golgi membrane,2
M. faucium,1
DIV,3
DIV vaccine,1
membrane penetration-defective,1
21st,2
membrane-derived vesicles,2
negative-strand antigenome,1
punctate GFPâLC3B,1
leaderâbody junctions,1
Mitochondrial Adaptor,1
Nuclear TRIM25,1
CRD1,1
Leu70,1
LAMP1-positive lysosomes,1
CD63-positive multivesicular bodies,1
epithelial lining fluid,1
actin-independent erythrocyte,1
interhost virus,1
Transcribed,3
sgmRNA,3
IAV-specific double-stranded,1
MTase-RdRP,3
Membrane Surface,1
outer leaflet,8
vesicular organelles,2
EEs,1
integral membrane,14
21-bp insert,1
VP-1,12
tombusvirus genome,1
Scytovirin,1
Envelopes,2
nsps 1,3
Secretory Pathway,1
glial graft,1
grid-like surface,1
nucleoproteins,6
intracellular TNF-Î±,1
leucines,4
pDC TI-IFN,1
Membrane Fusion-Mediated,1
p17,2
intracellular glutathione,1
heparan sulfate-dependent,1
Membrane Alanyl Aminopeptidase N,1
membrane alanyl aminopeptidase N (APN,1
PEMV virions,1
aphid gut-derived brush border,1
aphid gut,1
endocytic/lysosomal,1
lysosomal surface,1
lysosomal constituents,1
lysosomal material,1
intracellular polyploidy,1
Far,3
endosomal cysteine,7
N-proximal,2
endomembrane network,2
CP-mediated vesicle,2
CP-mediated ER-derived vesicle,1
encapsidation-competent CP,1
nuclear factor-kappa B-1,1
intron A,3
M. K.,1
L. M.,3
Parasites,5
N-peptide N46,1
CD-61,1
EIAV(vMA-1c,3
microvillus,4
adherens,1
non-native-like Env,1
Î±-helcial nanoparticles,1
endo-lysosomal vesicles,1
endoplasmic,3
